sub block trial obj foil exp maze DP turn attend pos resp1 resp2 resp3 RT1 RT2 RT3 correct1 correct2 correct3
99 1 01 f05 0 1 2 1 +1 0 +1 2 0 0 01.8123 00.0000 00.0000 0 0 0
99 2 01 f29 0 1 2 3 +1 0 +1 2 0 0 00.2603 00.0000 00.0000 0 0 0
99 3 01 f26 0 1 1 4 +1 0 -1 2 0 0 00.2473 00.0000 00.0000 0 0 0
99 4 01 f15 0 1 2 4 -1 0 +1 2 0 0 00.2170 00.0000 00.0000 0 0 0
99 5 01 v48 0 1 1 1 +1 1 +1 2 0 0 00.1751 00.0000 00.0000 0 0 0
99 6 01 v30 0 1 2 3 +1 1 +1 2 0 0 00.2288 00.0000 00.0000 0 0 0
99 7 01 f20 0 1 2 1 -1 0 +1 2 0 0 00.2150 00.0000 00.0000 0 0 0
99 8 01 f48 1 0 0 0 +0 0 +0 2 0 0 00.2067 00.0000 00.0000 1 1 0
99 9 01 v16 0 1 2 3 +1 1 -1 2 0 0 00.2157 00.0000 00.0000 0 0 0
99 10 01 v07 0 1 1 4 +1 1 -1 2 0 0 00.1624 00.0000 00.0000 0 0 0
99 11 01 v37 1 0 0 0 +0 0 +0 2 0 0 00.1700 00.0000 00.0000 1 1 0
99 12 01 f47 1 0 0 0 +0 0 +0 2 0 0 00.1787 00.0000 00.0000 1 1 0
99 13 01 f46 0 1 2 1 +1 0 -1 2 0 0 00.2144 00.0000 00.0000 0 0 0
99 14 01 v47 0 1 2 1 +1 1 -1 2 0 0 00.2639 00.0000 00.0000 0 0 0
99 15 01 f12 0 1 1 4 -1 0 -1 2 0 0 00.1944 00.0000 00.0000 0 0 0
99 16 01 f01 0 1 1 3 +1 0 -1 2 0 0 00.2262 00.0000 00.0000 0 0 0
99 17 01 v27 1 0 0 0 +0 0 +0 2 0 0 00.2743 00.0000 00.0000 1 1 0
99 18 01 v10 0 1 1 4 -1 1 -1 2 0 0 00.2043 00.0000 00.0000 0 0 0
99 19 01 v31 0 1 1 3 +1 1 +1 2 0 0 00.2022 00.0000 00.0000 0 0 0
99 20 01 f41 0 1 2 4 +1 0 -1 2 0 0 00.1650 00.0000 00.0000 0 0 0
99 21 01 f11 0 1 1 1 +1 0 +1 2 0 0 00.1886 00.0000 00.0000 0 0 0
99 22 01 f43 0 1 1 1 -1 0 -1 2 0 0 00.1422 00.0000 00.0000 0 0 0
99 23 01 f07 0 1 2 1 +1 0 +1 2 0 0 00.1959 00.0000 00.0000 0 0 0
99 24 01 v23 0 1 1 4 +1 1 +1 2 0 0 00.2041 00.0000 00.0000 0 0 0
99 25 01 v46 0 1 2 4 -1 1 -1 2 0 0 00.2240 00.0000 00.0000 0 0 0
99 26 01 f35 0 1 2 3 -1 0 -1 2 0 0 00.1366 00.0000 00.0000 0 0 0
99 27 01 f19 0 1 1 1 -1 0 +1 2 0 0 00.1893 00.0000 00.0000 0 0 0
99 28 01 v35 0 1 1 1 -1 1 +1 2 0 0 00.1573 00.0000 00.0000 0 0 0
99 29 01 v38 0 1 2 4 +1 1 +1 2 0 0 00.1157 00.0000 00.0000 0 0 0
99 30 01 f30 1 0 0 0 +0 0 +0 2 0 0 00.1523 00.0000 00.0000 1 1 0
99 31 01 v17 1 0 0 0 +0 0 +0 2 0 0 00.1685 00.0000 00.0000 1 1 0
99 32 01 f06 0 1 1 1 +1 0 -1 2 0 0 00.1399 00.0000 00.0000 0 0 0
