Subject Block Trial Dot_Coherence Sound_Direction Response
01 01 01 +0.00 -1 -1
01 01 02 -0.60 +1 +1
01 01 03 -0.60 -1 -1
01 01 04 +0.15 +1 +1
01 01 05 +0.30 +1 -1
01 01 06 -0.15 +1 -1
01 01 07 -1.00 +0 -1
01 01 08 +0.15 -1 -1
01 01 09 -0.30 +1 -1
01 01 10 +0.60 +1 +1
01 01 11 +1.00 -1 +1
01 01 12 +0.30 +0 -1
01 01 13 -0.60 +0 -1
01 01 14 -1.00 -1 -1
01 01 15 +0.60 -1 +1
01 01 16 +0.00 +1 -1
01 01 17 +1.00 +0 +1
01 01 18 -1.00 +1 -1
01 01 19 +0.60 +0 -1
01 01 20 +1.00 +1 +1
01 01 21 -0.15 -1 -1
01 01 22 +0.00 +0 -1
01 01 23 -0.30 -1 -1
01 01 24 +0.15 +0 -1
01 01 25 -0.15 +0 -1
01 01 26 -0.30 +0 -1
01 01 27 +0.30 -1 +1
01 02 01 +0.60 -1 +1
01 02 02 -0.15 -1 -1
01 02 03 +0.30 +0 -1
01 02 04 -0.30 +0 -1
01 02 05 -0.60 +1 +1
01 02 06 +0.15 +0 +1
01 02 07 +0.00 +1 -1
01 02 08 +1.00 -1 +1
01 02 09 +0.15 -1 -1
01 02 10 -0.15 +1 -1
01 02 11 -0.60 -1 -1
01 02 12 +0.60 +1 -1
01 02 13 -0.30 -1 +1
01 02 14 +0.60 +0 -1
01 02 15 +0.30 +1 +1
01 02 16 -0.60 +0 +1
01 02 17 +1.00 +0 +1
01 02 18 -0.15 +0 +1
01 02 19 -1.00 +1 -1
01 02 20 -1.00 +0 -1
01 02 21 +0.30 -1 +1
01 02 22 +0.00 -1 +1
01 02 23 +1.00 +1 +1
01 02 24 -0.30 +1 -1
01 02 25 +0.15 +1 +1
01 02 26 -1.00 -1 -1
01 02 27 +0.00 +0 +1
01 03 01 +0.30 -1 +1
01 03 02 -0.30 +1 +1
01 03 03 +0.15 +0 +1
01 03 04 +0.60 +1 +1
01 03 05 -0.60 +0 -1
01 03 06 -0.15 +1 +1
01 03 07 +0.00 +0 +1
01 03 08 -1.00 -1 -1
01 03 09 -0.15 -1 -1
01 03 10 +0.15 -1 -1
01 03 11 -0.60 +1 -1
01 03 12 +0.15 +1 -1
01 03 13 +0.60 -1 -1
01 03 14 -0.15 +0 +1
01 03 15 -0.60 -1 -1
01 03 16 +0.30 +1 -1
01 03 17 -0.30 -1 +1
01 03 18 +0.00 -1 -1
01 03 19 +0.00 +1 -1
01 03 20 +1.00 +0 +1
01 03 21 -1.00 +0 -1
01 03 22 -0.30 +0 -1
01 03 23 +1.00 +1 +1
01 03 24 +1.00 -1 +1
01 03 25 +0.60 +0 +1
01 03 26 -1.00 +1 -1
01 03 27 +0.30 +0 +1
01 04 01 +1.00 +0 +1
01 04 02 -1.00 +1 -1
01 04 03 +0.00 +0 -1
01 04 04 +0.30 +1 -1
01 04 05 +0.15 +0 -1
01 04 06 -0.30 +0 +1
01 04 07 +0.60 -1 -1
01 04 08 +1.00 -1 +1
01 04 09 +0.60 +0 +1
01 04 10 +1.00 +1 +1
01 04 11 +0.60 +1 -1
01 04 12 -0.15 +0 -1
01 04 13 +0.30 -1 +1
01 04 14 +0.00 +1 -1
01 04 15 -1.00 +0 -1
01 04 16 -0.15 +1 -1
01 04 17 -0.30 +1 +1
01 04 18 -1.00 -1 -1
01 04 19 -0.15 -1 -1
01 04 20 +0.15 +1 -1
01 04 21 -0.60 +1 -1
01 04 22 -0.60 -1 -1
01 04 23 +0.00 -1 -1
01 04 24 +0.15 -1 -1
01 04 25 -0.60 +0 -1
01 04 26 +0.30 +0 -1
01 04 27 -0.30 -1 -1
01 05 01 -0.60 -1 -1
01 05 02 -1.00 -1 -1
01 05 03 -0.30 +1 -1
01 05 04 +1.00 +1 +1
01 05 05 +0.60 -1 -1
01 05 06 +0.60 +0 +1
01 05 07 +0.15 +0 +1
01 05 08 -0.30 -1 -1
01 05 09 -0.60 +0 -1
01 05 10 +0.15 -1 +1
01 05 11 -1.00 +0 -1
01 05 12 -0.30 +0 -1
01 05 13 +0.00 +0 -1
01 05 14 +0.30 +1 +1
01 05 15 +1.00 -1 +1
01 05 16 +1.00 +0 +1
01 05 17 +0.15 +1 +1
01 05 18 +0.30 +0 +1
01 05 19 -0.15 +0 -1
01 05 20 +0.60 +1 -1
01 05 21 +0.30 -1 -1
01 05 22 -0.15 -1 -1
01 05 23 -0.15 +1 -1
01 05 24 +0.00 +1 +1
01 05 25 +0.00 -1 -1
01 05 26 -0.60 +1 -1
01 05 27 -1.00 +1 -1
